Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,C_0402_1005Metric,161.34,-90.9,90.0,top
C2,10uf,C_0402_1005Metric,182.92,-93.94,-90.0,top
C3,10 nf,C_0402_1005Metric,173.35,-91.04,90.0,top
C4,100 nf,C_0402_1005Metric,176.635,-99.25,0.0,top
C5,100 nf,C_0402_1005Metric,180.635,-94.58,180.0,top
C6,100 nf,C_0402_1005Metric,178.4,-87.02,0.0,top
C7,100 nf,C_0402_1005Metric,175.565,-93.31,-90.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,172.31,-110.34,180.0,top
L1,15µH,L_0201_0603Metric,177.7,-94.44,180.0,top
R1,5.1k,R_0402_1005Metric,168.26,-102.11,180.0,top
R2,5.1k,R_0402_1005Metric,176.495,-102.39,0.0,top
R3,10k,R_0402_1005Metric,163.41,-97.39,90.0,top
R4,10k,R_0402_1005Metric,178.225,-97.7,0.0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,163.59,-101.85,180.0,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,180.655,-101.92,180.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,171.25,-70.82,0.0,top
U2,SX1262IMLTRT,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,178.835,-90.4825,270.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,166.73,-90.49,180.0,top
